Symbol
NVDA
AAPL
MSFT
GOOG
AMZN
META
AVGO
TSLA
WMT
JPM
ORCL
LLY
V
NFLX
MA
XOM
JNJ
PLTR
COST
ABBV
AMD
HD
BAC
BABA
PG
UNH
GE
CVX
KO
CSCO
WFC
IBM
MS
TMUS
CAT
PM
AXP
CRM
MU
GS
ABT
MCD
MRK
RTX
SHOP
LIN
PEP
TMO
DIS
BX
UBER
APP
NOW
INTU
T
ANET
C
AMAT
LRCX
QCOM
PDD
INTC
ARM
NEE
SCHW
VZ
TXN
ISRG
BA
GEV
AMGN
TJX
APH
GILD
KLAC
DHR
ACN
BSX
ETN
SPGI
SYK
PANW
ADBE
PFE
SPOT
COF
LOW
UNP
HON
PGR
DE
CRWD
HOOD
MDT
ADI
PLD
LMT
CEG
WELL
ADP
DASH
BN
CMCSA
SCCO
MO
COP
VRTX
SO
CB
KKR
CVS
NEM
HCA
NKE
DUK
DELL
SBUX
CME
SE
MMC
TT
RBLX
GD
COIN
CDNS
AMT
BMY
ICE
BAM
WM
ORLY
MSTR
SNPS
MMM
SHW
RCL
SNOW
CI
MDLZ
ELV
ABNB
ECL
CRH
CTAS
HWM
WMB
BK
NU
MRVL
AON
UPS
NET
USB
EMR
GLW
JCI
APO
PNC
NSC
MAR
AJG
CVNA
CSX
RSG
MNST
FI
VRT
TEL
VST
PYPL
EPD
ADSK
FTNT
PWR
ZTS
ALNY
CRWV
CL
WDAY
COR
AEP
REGN
HLT
KMI
FCX
SRE
TRV
DLR
SPG
EOG
AFL
CPNG
ET
FDX
APD
MPC
CMG
NXPI
TFC
GM
BDX
O
DDOG
LHX
MET
PSX
D
PCAR
NDAQ
ROST
ALL
MPLX
EA
SLB
VLO
FAST
CARR
EXC
TTWO
ZS
LNG
F
XEL
FERG
RKT
CBRE
XYZ
VEEV
JD
DHI
PAYX
KR
STX
BKR
WBD
FLUT
EW
EBAY
AME
CPRT
AIG
OKE
ETR
CCI
PEG
CTVA
TGT
CCEP
TEAM
WDC
YUM
SYM
A
FANG
OXY
KMB
DAL
BIDU
SYY
CHTR
RDDT
KDP
WEC
EL
HSY
TKO
CCJ
AU
CCL
CAH
PCG
ED
LYV
MCHP
IQV
OTIS
PRU
XYL
FIS
EQT
INSM
HIG
LVS
GEHC
HUM
DD
WAB
RKLB
SOFI
SMCI
RJF
VICI
VTR
UAL
CTSH
VRSK
STT
NRG
ACGL
TRGP
EXR
LEN
ARES
CSGP
IR
NUE
IRM
QSR
ASTS
KHC
ADM
PSTG
ODFL
HPE
DTE
IBKR
TSCO
AWK
KVUE
K
BRO
MTB
DIDIY
AEE
EFX
CRCL
WRB
PPL
NBIS
FITB
ROL
FE
VIK
EXPE
ES
SYF
MDB
BE
NTRA
REG
DXCM
HPQ
GIS
CNP
OWL
ALAB
VLTO
TTD
CRDO
TW
CYBR
EXE
IP
FSLR
STZ
PHM
NTRS
FOX
ZM
CIEN
TPR
EQR
OKLO
FLEX
NTAP
DG
AFRM
WSM
GRAB
PPG
DOV
HBAN
TROW
ON
FUTU
CMS
PINS
TER
TOST
DRI
EIX
SW
VG
SNDK
JBL
LULU
CFG
STLD
BIIB
TECK
RF
AER
CHD
IONQ
IOT
RPRX
GPN
CG
TPG
SATS
NI
ZBH
CDW
DVN
DKS
DLTR
SSNC
GFS
BG
HAL
KEY
BWXT
AMCR
COHR
TLN
TRMB
GPC
TSN
APTV
GDDY
MKC
NTNX
AVAV
IT
EVRG
LUV
PSKY
Z
FTAI
PNR
CTRA
THC
CNC
SGI
LNT
PFG
INVH
WMG
USFD
WY
INCY
BBY
CRBG
DKNG
AS
CELH
TWLO
FTV
IFF
IREN
YUMC
GEN
EXPD
TEM
JBHT
NVT
PFGC
HOLX
XPO
OKTA
RIVN
BSY
TRU
GLXY
NWS
CHWY
WES
ILMN
RBRK
DOW
OMC
FNF
SMMT
DECK
CHRW
BMNR
